,Principal Component 1,Principal Component 2,Principal Component 3,Clusters
0,4.883532350861622,-0.045253647204673036,2.7052236075016496,1
1,-2.664784680790676,-0.6870653124242936,-1.4677931039097274,2
2,2.3617886837671804,-0.5753763769910815,-0.1922407964069817,1
3,-2.6843721065363546,-1.15686555890938,-0.7402399283789177,2
4,-0.43323210415075425,0.9828110326313507,-0.6133038368428712,0
5,0.46344494239725303,1.348170853691322,-1.0821421994429334,0
6,0.5701371971612212,0.6209089218994072,1.7046065036236577,0
7,-2.3451467863819344,-0.11134915554270186,0.0502739993129002,2
8,-2.9189268125563,-0.47368116229025725,-0.18195236973967116,2
9,-5.104297482577373,0.7996766668733004,0.11510586394325548,2
10,-1.9195061102228805,-2.6360536265531582,2.117502528978577,2
11,4.0645733671521755,-2.37373905297375,0.023025834481957365,1
12,-1.5176672965986342,1.190646192398159,-1.113660160228289,2
13,-1.9382796625676628,-2.677874200287699,1.643216705478372,2
14,4.169076764857071,-0.002611749174562929,-0.4436555719212403,1
15,-3.0743893443679164,0.867650983879158,0.5919734571165289,2
16,0.12041849891587728,-0.9891784126909101,0.8289102380474589,2
17,3.3523258262851594,3.353725644005008,-0.5811339523364877,0
18,-1.6894345235288757,-1.3534062176495782,2.959047566896033,2
19,-0.1556757192512655,-1.6402581033708552,1.8824660048571302,2
20,2.705170584541278,2.5193107613973496,0.6168975738904495,0
21,-0.26368349240935346,1.8840183985625194,-0.8479712941670425,0
22,-0.10168034874849975,1.0887423041790796,-2.654722213903924,0
23,-1.2229526778353879,2.418230114956578,1.1576424652309942,0
24,-1.240887302316795,-2.8854510577251014,1.7378689534616514,2
25,-2.251233668214242,1.5995765089369647,0.16975173522398884,0
26,-1.8198886972403778,-0.9047086108800589,-0.04457143301019219,2
27,5.008587676790618,-0.21927440358589612,-1.8789681761595973,1
28,-1.5169814443785326,-3.4768002153885655,0.30632740203395764,2
29,0.3760345491313105,-1.9020973227446334,-1.0696663153150774,1
30,-2.1335914261949847,-0.2628026838558593,0.167216285072333,2
31,-1.4695549217230925,1.8401986406726472,0.34146929007813887,0
32,2.951465955416156,-0.3352149834377387,-0.7899210724593073,1
33,-2.6110576655702658,-0.08740740901753098,-1.1834120346052528,2
34,1.1255147463863928,2.0127176893848073,-1.6988392695805141,0
35,-2.594298274209804,-0.37543312318129624,1.569389321354106,2
36,-2.123925220599729,-1.8459271953605014,-0.7234287732865394,2
37,2.939702232732772,-0.6034364056955356,0.498593219700664,1
38,3.4693992199678045,1.279545114244305,0.5685544557653678,0
39,-3.0238454718768306,-0.6724436062489739,-0.2265656967077931,2
40,-2.7715091428089926,-0.9352244848300106,-0.37461232581095627,2
41,-2.9211235134815827,-0.3808061754980583,-0.04513763657083136,2
42,4.6235373915972655,-2.525523265624046,0.2309190265956318,1
43,-1.665668520976166,-2.1287968970078692,3.4132909218879828,2
44,-2.818596959367365,-0.4906283198615188,0.3917054145263467,2
45,0.8068564610916918,4.8993460316803334,0.25115970318563463,0
46,0.717471836560254,-0.8514763348246269,-1.7858579955213598,1
47,5.427033258507617,0.31474810667959896,-0.6917363721254616,1
48,-2.2315711302751695,-1.3406034885656708,1.3055785365152228,2
49,5.91337314323131,-1.6605321278608327,0.2792836936879507,1
50,-0.41878743338855906,2.647576548706663,-0.37227377324982397,0
51,6.679455991195335,0.6884482859748641,-0.617438442273103,1
52,3.9809952081850617,-1.6463325756333413,0.8175875900350353,1
53,-2.211356447871562,-2.4455080108140814,-0.2191749351638233,2
54,-0.8494759185191443,1.4246031906140721,-0.9185242147868129,2
55,4.066678173726091,-1.5167172248530012,-0.23246386529932517,1
56,-0.3528875520302273,2.271401238797938,-0.14016581505474557,0
57,1.071029915412964,1.8788279588852825,1.4688139139779444,0
58,0.19182577855828564,0.43080877443431576,-1.329609067878902,0
59,3.110536870491286,-0.7039926368090506,-0.3908378864622727,1
60,-2.775695292659418,-0.9399260940549068,0.10260797372286441,2
61,-3.537257887471514,-0.43359929327208724,-1.793747019620362,2
62,3.6099186124079954,0.7162811059114771,0.6872314400832306,0
63,1.032142584173623,0.8043313610305824,-0.778064843387574,0
64,0.6820381428884046,3.903000298002947,-0.652192094831727,0
65,3.6478061671475426,-0.16802267629569193,-0.6053333622721206,1
66,1.9375934622664595,2.6037592921565804,0.8646072540597793,0
67,-0.9608350667793841,3.261344298232044,-0.270582083316848,0
68,-0.8236723273529412,-2.5844664131975907,-1.5395919708572823,2
